timestamp,open,high,low,close,volume
10/31/2017,52.26,52.49,50.02,51.01,28432806
10/30/2017,54.16,54.77,54.08,54.66,6986348
10/27/2017,53.7,54.7,53.36,54.57,8637328
10/26/2017,54.1,54.39,53.665,53.8,5227877
10/25/2017,53.98,54.43,53.475,53.84,7352176
10/24/2017,53.44,54.44,53.4,54.25,10450810
10/23/2017,52.3,53.78,52.13,53.39,9698032
10/20/2017,52.51,52.59,51.94,52.02,8405771
10/19/2017,52.03,52.4,52.01,52.29,6657536
10/18/2017,52.54,52.67,52.02,52.21,5928735
10/17/2017,52.32,52.44,51.8501,52.41,7456659
10/16/2017,52.98,53,52.3101,52.38,5749880
10/13/2017,53.38,53.38,52.74,52.82,6293816
10/12/2017,53.88,54.175,52.96,53,7000530
10/11/2017,53.79,54.38,53.66,54.12,8679167
10/10/2017,52.95,53.9,52.9,53.87,8701455
10/9/2017,52.68,52.9799,52.38,52.88,5803730
10/6/2017,52.16,52.63,52.16,52.49,4780961
10/5/2017,52.17,52.43,51.96,52.35,5144244
10/4/2017,51.93,52.12,51.67,51.96,4521452
10/3/2017,51.99,52.22,51.65,52.02,4176210
10/2/2017,52.09,52.16,51.7,51.88,4363679
9/29/2017,51.91,52.0447,51.62,51.84,5159612
9/28/2017,51.38,52.04,51.31,51.75,5671994
9/27/2017,51.43,51.61,51.1526,51.55,8122353
9/26/2017,51.75,51.87,50.85,51.13,9148913
9/25/2017,51.9,52.285,51.61,51.62,7931316
9/22/2017,51.82,52.23,51.78,52.09,4077699
9/21/2017,51.86,52.2,51.71,52.03,5192113
9/20/2017,52.43,52.52,51.48,51.98,8273935
9/19/2017,52.4,52.5,52.06,52.3,4897549
9/18/2017,52.24,52.37,51.955,52.25,5951635
9/15/2017,51.95,52.29,51.44,52.19,12717688
9/14/2017,50.97,51.59,50.67,51.48,7677860
9/13/2017,50.8,51.1054,50.72,51.01,6147412
9/12/2017,50.6,51.07,50.52,50.9,4444021
9/11/2017,49.94,50.67,49.91,50.57,7137370
9/8/2017,50.35,50.45,48.92,49.64,12445202
9/7/2017,50.56,50.69,50.25,50.38,8214389
9/6/2017,50.19,50.77,49.83,50.45,16009190
9/5/2017,51.86,51.9,49.83,50.03,17850640
9/1/2017,52.53,52.77,51.925,52.05,5250026
8/31/2017,52.26,52.59,52.12,52.27,7907278
8/30/2017,51.75,52.286,51.56,52.12,4806103
8/29/2017,51.31,51.86,51.28,51.81,4896218
8/28/2017,51.77,51.81,51.46,51.81,4441742
8/25/2017,52.78,52.8545,52.02,52.03,8502179
8/24/2017,52.37,52.71,52.26,52.49,5972821
8/23/2017,52.3,52.405,51.78,52.23,5046782
8/22/2017,52.21,52.62,52.21,52.35,4350136
8/21/2017,52,52.08,51.5,51.98,5185851
8/18/2017,52.26,52.415,51.9,51.92,6642109
8/17/2017,53.19,53.41,52.27,52.27,6087867
8/16/2017,54.06,54.1,53.255,53.31,7034292
8/15/2017,53.66,54.08,53.35,53.87,7562385
8/14/2017,53.04,53.64,52.91,53.55,7558235
8/11/2017,52.39,53.13,52.29,52.72,5835863
8/10/2017,52.54,52.75,52.11,52.34,9578948
8/9/2017,52.05,52.8,52,52.77,7039352
8/8/2017,52.55,53.33,52.21,52.29,8779415
8/7/2017,52.5,52.845,52.49,52.7,6561768
8/4/2017,53,53,52.51,52.62,8645879
8/3/2017,53.16,53.3399,52.75,52.95,8481098
8/2/2017,53.295,53.3885,52.78,53.17,19324507
8/1/2017,52.5,52.845,52.49,52.7,7480549
7/31/2017,53.1,53.295,52.75,53.19,10641489
7/28/2017,52.27,52.9865,52.27,52.88,6534345
7/27/2017,53.08,53.37,52.23,52.49,13964311
7/26/2017,53.29,53.35,52.74,53.14,7492633
7/25/2017,53.2,53.65,53.07,53.27,7060158
7/24/2017,53.75,53.88,53.09,53.22,8739769
7/21/2017,53.66,54,53.37,53.84,11963407
7/20/2017,55.11,55.43,53.46,53.97,35647961
7/19/2017,56.46,56.9399,56.01,56.78,7437353
7/18/2017,56.34,56.38,56,56.29,7329551
7/17/2017,56.73,56.92,56.39,56.46,5067322
7/14/2017,56.5,56.93,56.15,56.81,4365609
7/13/2017,56.38,56.52,56.17,56.23,5884064
7/12/2017,55.79,56.31,55.72,56.2,6082481
7/11/2017,55.63,55.63,55.02,55.33,6009448
7/10/2017,55.37,55.885,55.19,55.64,4973557
7/7/2017,55.04,55.73,54.87,55.35,5156330
7/6/2017,55.02,55.23,54.735,54.79,5557013
7/5/2017,55.01,55.56,54.78,55.45,6624023
7/3/2017,55.53,56.02,54.92,54.95,4379566
6/30/2017,55.6,55.63,55.03,55.22,8596198
6/29/2017,55.93,55.93,54.55,55.08,8333137
6/28/2017,55.4,56.32,55.18,56.16,7231216
6/27/2017,56.29,56.33,55.41,55.43,6734074
6/26/2017,57.09,57.6892,56.21,56.56,7255489
6/23/2017,56.64,57.4365,56.57,56.91,8660612
6/22/2017,56.24,56.745,56.06,56.47,5512097
6/21/2017,56.79,56.84,56.12,56.33,8189893
6/20/2017,57.46,57.61,56.51,56.79,8087133
6/19/2017,56.96,57.66,56.91,57.61,6909034
6/16/2017,56.98,57.01,56.35,56.82,13536039
6/15/2017,56.42,57.17,56.4,56.93,5371464
6/14/2017,57.7,57.97,56.67,57.01,6702810
6/13/2017,57.95,58.065,57.5,57.54,6971106
6/12/2017,56.52,57.675,56.48,57.49,9871291
6/9/2017,58.37,58.49,56.74,57.05,13572264
6/8/2017,57.77,58.15,57.61,58.12,10134415
6/7/2017,58.3,58.49,57.13,57.53,9967746
6/6/2017,58.6,58.91,58.18,58.2,7808482
6/5/2017,58.5,59.05,58.48,58.86,7655063
6/2/2017,58.89,58.96,58.35,58.58,9461824
6/1/2017,57.45,58.65,57.35,58.62,11116224
5/31/2017,57.26,57.73,57,57.27,13114683
5/30/2017,57.28,57.74,57.17,57.34,11436669
5/26/2017,57.66,57.978,57.37,57.52,8172585
5/25/2017,58.65,58.95,58.261,58.45,9500477
5/24/2017,59.28,59.62,58.57,58.64,8483816
5/23/2017,59.38,59.89,59.13,59.22,14168042
5/22/2017,58.39,59.54,58.38,59.28,19135673
5/19/2017,56.49,57.79,56.2,57.67,14756793
5/18/2017,55.58,56.31,55.02,56.12,12738161
5/17/2017,55.64,56.075,55.3,55.36,14353844
5/16/2017,55.39,55.98,55.1,55.95,9207347
5/15/2017,55.08,55.49,55.075,55.4,10542387
5/12/2017,54.5,55.35,54.4,55.32,9023255
5/11/2017,55.25,55.3,54.41,54.68,13125085
5/10/2017,55.22,55.4273,54.8627,55.33,8336404
5/9/2017,54.69,55.19,54.63,55.15,8173562
5/8/2017,54.99,55,54.56,54.62,6783511
5/5/2017,54.93,55,54.695,54.93,8796099
5/4/2017,54.73,55,54.5,54.91,11774654
5/3/2017,53.41,54.77,53.25,54.49,18042491
5/2/2017,53.65,53.725,52.9,53.29,10162709
5/1/2017,53.65,53.7,53.095,53.6,12769352
4/28/2017,51.8,53.95,51.05,53.74,34106676
4/27/2017,53.24,53.34,52.91,53.21,6850407
4/26/2017,53.2,53.3,52.91,53.04,7265625
4/25/2017,53.17,53.49,52.96,53,11316729
4/24/2017,53.01,53.25,52.75,52.81,10704413
4/21/2017,52.77,52.8,52.21,52.5,10951539
4/20/2017,53.22,53.4,51.4,52.66,24664581
4/19/2017,53,53.1,52.3,52.61,15441526
4/18/2017,52.6,52.98,52.39,52.67,11262770
4/17/2017,52.99,53.13,52.75,52.89,10471714
4/13/2017,53.13,53.675,52.78,52.79,17014422
4/12/2017,54.64,54.65,53.12,53.39,24822200
4/11/2017,56.32,56.36,54.72,55.35,17301754
4/10/2017,56.43,56.81,56.27,56.52,6039764
4/7/2017,56.58,56.6,56.1938,56.32,5229533
4/6/2017,56.44,56.73,56.1393,56.53,5757837
4/5/2017,56.8,57.53,56.42,56.47,7857728
4/4/2017,56.3,56.9099,56.25,56.68,7124105
4/3/2017,57.26,57.34,56.04,56.5,11343523
3/31/2017,57.46,57.69,56.97,57.34,10064955
3/30/2017,57.36,57.65,57.19,57.2,6358995
3/29/2017,57.09,57.37,56.86,57.36,4042648
3/28/2017,56.67,57.61,56.67,57.38,5953489
3/27/2017,56.72,56.94,56.48,56.66,4726309
3/24/2017,57.47,57.47,56.64,56.92,5621440
3/23/2017,57.16,57.27,56.59,56.81,7718655
3/22/2017,56.73,57.125,56.1,57.04,9129711
3/21/2017,57.93,58.1,56.74,56.8,10092647
3/20/2017,57.79,58.07,57.59,57.81,7498218
3/17/2017,58.57,58.61,57.51,57.55,20057782
3/16/2017,58.3,58.73,58.16,58.35,7206192
3/15/2017,58.42,58.75,58.18,58.52,9029458
3/14/2017,58.375,58.375,57.72,58.22,6276935
3/13/2017,59.03,59.04,58.2,58.46,7737879
3/10/2017,58.36,58.79,58.3,58.64,9751987
3/9/2017,57.65,58.1,57.4027,57.97,9875608
3/8/2017,56.92,58.08,56.8,57.77,13201652
3/7/2017,56.6,56.82,56.19,56.73,7131737
3/6/2017,56.27,56.56,56.07,56.45,7241631
3/3/2017,56.52,56.57,56,56.44,6984526
3/2/2017,56.95,57.153,56.24,56.37,8451735
3/1/2017,56.93,57.08,56.27,57.01,11082396
2/28/2017,56.49,56.52,55.89,56.48,10388173
2/27/2017,56.56,56.98,56.31,56.73,7127599
2/24/2017,57.02,57.23,56.5,57.22,10644787
2/23/2017,57.01,57.305,56.77,57.14,10152814
2/22/2017,56.78,57.1,56.48,57.1,8711537
2/21/2017,56.83,57.19,56.58,56.75,9878152
2/17/2017,56.85,56.94,56.05,56.46,12456638
2/16/2017,56.58,56.9,56.445,56.88,11622895
2/15/2017,55.63,56.5,55.49,56.49,14149193
2/14/2017,55.428,55.52,54.82,55.48,13071979
2/13/2017,54.58,55.13,54.26,54.93,14516176
2/10/2017,53.1,54.2825,52.93,54,14042202
2/9/2017,52.91,53.1,52.76,52.88,7615138
2/8/2017,53.39,53.39,52.72,52.89,9229045
2/7/2017,53.22,53.28,52.76,53.27,10374100
2/6/2017,53.31,53.41,52.82,52.88,8215133
2/3/2017,52.95,53.22,52.75,52.98,10965265
2/2/2017,52.95,53.0992,52.37,52.66,14481242
2/1/2017,53.64,53.8192,52.86,53.15,16102109
1/31/2017,53.61,53.64,52.83,53.43,13995448
1/30/2017,54.39,54.4,53.55,53.61,14853856
1/27/2017,54.65,54.76,54,54.24,23474353
1/26/2017,55.35,55.49,53.5,54.05,37888156
1/25/2017,56.1,56.98,55.5,56.9,27969706
1/24/2017,55.02,55.7699,54.7,55,41751760
1/23/2017,58.67,58.67,53.77,54.88,94436001
1/20/2017,65.19,65.74,62.62,62.88,20936881
1/19/2017,64.97,65.4,64.36,64.44,9429206
1/18/2017,64.67,66.09,63.81,65.13,15883201
1/17/2017,66.71,66.97,63.15,64.19,22426310
1/13/2017,66.25,67.08,66.16,66.88,6177365
1/12/2017,65.35,66.18,65.0546,66.12,6113613
1/11/2017,65.75,66.11,65.42,66.1,8349761
1/10/2017,65.95,66.155,65.57,65.63,6076032
1/9/2017,65.53,66.265,65.49,65.65,4769160
1/6/2017,65.48,65.87,64.8601,65.53,6749352
1/5/2017,65.21,65.9764,65.05,65.55,5998898
1/4/2017,65.67,65.95,65.26,65.47,6221655
1/3/2017,65.86,66.14,64.601,65.4,9519838
